Date;SP500;MSFT;CSCO;INTC;IBM;ORCL;HPQ;EMC;TXN;QCOM;AMAT;ADBE;MU;ADI;KLAC;LRCX;GLW;AKAM;CDNS;SNPS;CTXS;NTAP;MSI
01/02/2003;909,03;26,86;13,64;16,69;80,57;11,21;18,2;6,35;16,04;18,57;13,98;12,8;10;25,9;3,736;1,165;3,75;1,88;11,66;23,46;13;10,7;64,40001
01/03/2003;908,59;26,895;13,91;16,54;81,65;11,56;18,57;6,39;16,13;17,85;14,53;13,15;10,16;26,01;3,9;1,151;3,81;1,9;9,24;21,125;13,56;10,711;64,19002
01/06/2003;929,01;27,385;14,2;17,18;83,59;11,96;19,65;6,8;17,04;18,685;15,41;13,755;10,56;27,61;4,084;1,257;3,95;1,867;9,8;21,815;14;11,63;67,90001
01/07/2003;922,93;27,9;14,6;17,36;86;12,69;19,95;7,47;16,5;18,63;15,3;14,255;11;27,74;4,046;1,271;4,01;1,747;9,36;20,845;14,09;12,05;67,829994
01/08/2003;909,93;27,12;14,44;16,68;84,19;12,12;19,5;7,45;16;18,31;14,63;13,565;10,05;27,01;3,9380002;1,2390002;3,77;1,66;9,65;21,05;13,42;11,73;67,619995
01/09/2003;927,58;27,905;14,95;17,06;87;13,01;20,48;7,82;15,86;19,34;15,04;14,12;9,95;28,35;4,046;1,323;4,25;1,78;10,13;21,82;14,02;13,03;69,299995
01/10/2003;927,57;27,96;15,22;17,42;87,68;13,07;20,85;7,89;16,05;19,225;15,7;14,325;10,29;28,94;4,1410003;1,3790001;4,51;1,77;10,11;21,635;14,17;13,1;69,51
01/13/2003;926,26;28,195;15,28;17,38;87,51;12,93;20,36;7,7;16,1;19,35;15,4;14,275;10,09;27,7;4,045;1,3460001;4,61;1,77;10;20,885;14,4;12,56;66,15001
01/14/2003;931,66;28,485;15,58;17,79;88,58;13,11;20,6;7,8;16,12;19,66;15,36;14,555;10,2;28,01;3,9650002;1,355;4,72;1,81;10,2;21,485;14,76;12,99;66,22002
01/15/2003;918,22;28,135;15,18;17,35;87,59;12,53;20,25;7,57;15,91;19,185;14,45;13,985;9,96;27,45;3,845;1,2860001;4,71;1,76;10;21,25;14,48;12,69;64,75
01/16/2003;914,6;27,675;14,9;17,2;86,05;12,17;19,99;7,36;15,07;19,195;14,34;13,6;9,65;26,6;3,7830002;1,309;4,15;1,7;10;20,315;14,11;11,98;63,91
01/17/2003;901,78;25,73;14,13;16,34;81,3;11,44;19,23;6,9;14,55;18,4;13,53;12,93;9,16;24,98;3,602;1,233;4,29;1,54;9,85;20;12,83;11,28;61,390003
01/21/2003;887,62;25,665;14,182;16,29;80,54;11,57;18,93;6,86;14,15;18,48;13,52;12,835;8,9;24,6;3,573;1,249;4,1;1,49;9,6;19,6;12,97;11,32;61,25
01/22/2003;878,36;25,5;13,96;16,25;79,7;11,62;18,95;6,98;14,25;18,345;13,78;12,89;8,5;24,62;3,6200001;1,2140001;4,07;1,485;10,01;19,585;12,83;11,39;59,71001
01/23/2003;887,34;26,14;14,59;16,67;81,05;12,46;19,6;7,55;16,12;18,965;14,06;13,405;8,79;25,63;3,641;1,298;4,36;1,5;10,29;20,12;13,65;12,18;60,690006
01/24/2003;861,4;24,925;13,86;15,85;78,99;11,77;18,75;7,14;15,86;18,4;13,27;12,935;8,23;25,03;3,4459999;1,23;4;1,4;10,02;19,58;13,27;11,18;60,690006
01/27/2003;847,48;24,585;13,71;15,88;78,42;11,93;18,37;7,06;15,42;18,19;13,28;12,905;7,99;24,61;3,4520001;1,215;3,94;1,31;9,99;19,24;12,76;11,2;58,66
01/28/2003;858,54;24,41;14,22;16,03;80,11;11,97;18,78;7,72;16;18,545;13,24;13,34;7,94;25,04;3,4669998;1,2390002;4,16;1,36;10,37;19,29;13,45;11,87;58,100006
01/29/2003;864,36;24,955;14,08;16,66;80,32;12,02;19,29;7,78;16,35;19,005;13,6;13,355;8,42;25,19;3,5849998;1,298;4,35;1,43;10,08;19,705;13,78;11,96;58,100006
01/30/2003;844,61;24,12;13,87;15,79;78,3;11,75;18,2;7,52;15,66;18,77;12,95;13,21;8,32;23,57;3,375;1,2080001;4,13;1,39;9,7;19,245;13,86;11,2;56,70001
01/31/2003;855,7;23,73;13,37;15,7;78,2;12,03;17,41;7,7;15,9;18,83;11,97;13,21;8,21;23,93;3,264;1,169;4,08;1,33;9,92;19,335;13,8;10,81;55,86001
02/03/2003;860,32;24,28;13,48;15,77;78,18;12,01;17,48;7,66;15,85;18,67;12,02;13,53;8,4;23,74;3,223;1,1850001;4,1;1,31;9,8;19,445;14,11;10,89;56
02/04/2003;848,2;23,66;13,2;15,64;77,09;11,73;17,5;7,79;15,49;18,3;12,18;13,215;8,25;23,74;3,23;1,248;4,02;1,23;9,64;19,085;13,6;10,82;55,37001
02/05/2003;843,59;23,48;13,2;15,58;77,26;11,52;17,11;7,76;15,49;18,14;12,02;13,26;8,14;23,49;3,279;1,237;4,04;1,26;9,7;18,85;13,14;10,66;54,740013
02/06/2003;838,15;23,71;13,242;15,38;77,51;11,53;17,03;7,62;15,06;18,29;12;13,26;7,62;23,04;3,223;1,2470001;4,2;1,27;9,62;18,785;11,89;10,55;54,11001
02/07/2003;829,69;23,29;12,85;15,05;77,1;11,34;16,48;7,43;14,99;18,12;11,81;13,07;7,61;23,06;3,164;1,228;4,57;1,427;9,51;18,49;11,83;10,27;53,97001
02/10/2003;835,97;23,69;13,15;15,27;77,91;11,75;16,64;7,95;15,05;18,81;12,05;13,315;7,35;23,46;3,229;1,2571;5,4;1,35;9,59;18,32;11,59;10,53;56,21001
02/11/2003;829,2;23,22;13,47;15,34;77,39;11,915;16,85;7,76;15,44;18,825;11,94;13,35;7,23;24;3,2099998;1,238;5,34;1,27;9,65;18,645;11,67;10,77;57,049995
02/12/2003;818,68;23,22;13,2;15,15;76,5;11,5;16,62;7,57;15,25;18,28;11,819;13,39;7;24;3,2040002;1,235;4,95;1,23;9,51;18,655;11,64;10,56;56
02/13/2003;817,37;23,495;13,31;15,53;75,86;11,54;16,95;7,86;14,91;16,955;11,81;13,465;6,76;23,88;3,2169998;1,195;5,05;1,23;9,58;18,25;11,62;10,41;55,86001
02/14/2003;834,89;24,15;13,68;16,15;77,45;11,7;17,79;7,91;15,48;17,35;12,4;13,715;7,2;26,9;3,4310002;1,256;5,18;1,33;9,85;19,18;11,86;10,73;58,799995
02/18/2003;851,17;24,96;14,31;16,71;79,33;12,42;18,44;8,5;16,24;17,695;12,74;14,18;7,17;27,76;3,5110002;1,332;5,25;1,43;10;19,78;12,51;11,24;57,82
02/19/2003;845,13;24,53;14,42;16,8;79,51;12,32;17,81;8,18;16,41;17,77;12,41;14,13;7,44;27,3;3,4650002;1,3100001;5,21;1,44;10,06;19,875;12,56;11,11;58,03
02/20/2003;837,1;24,15;14,26;17,02;79,04;12,31;17,87;8,25;15,99;17,35;12,78;14,18;7,75;27,9;3,5310001;1,3590001;5,14;1,381;10,28;20,23;12,58;11,14;57,54
02/21/2003;848,17;24,61;14,67;16,78;79,95;12,39;18,17;8,04;15,89;17,61;12,8;14,555;7,52;28,26;3,5049999;1,314;4,99;1,46;10,23;20,575;12,5;11,3;57,75
02/24/2003;832,58;24,07;14,42;16,54;78,56;11,82;17,75;7,82;15,93;17,59;12,82;14,18;7,47;27,86;3,5340002;1,316;4,89;1,4;10,17;20,37;12,22;10,94;56,769997
02/25/2003;838,57;24,19;14,08;16,73;79,07;11,94;18,18;7,68;16,03;17,385;12,65;14,14;7,36;27,97;3,501;1,332;4,84;1,54;10,33;20,46;11,97;10,65;57,049995
02/26/2003;827,55;23,6;13,51;16,24;77,4;11,71875;15,37;7,51;15,75;16,735;12,323;13,54;7,53;27,26;3,405;1,2770001;4,74;1,6;10,46;20,23;11,64;10,25;57,12
02/27/2003;837,28;23,58;13,75;16,7;77,28;11,89;15,54;7,14;16,3;17,11;12,58;13,605;7,61;28,34;3,5130002;1,3180001;4,8;1,58;10,56;20,345;11,82;10,55;57,96001
02/28/2003;841,15;23,7;13,98;17,26;77,95;11,96;15,85;7,39;16,75;17,29;12,98;13,75;7,99;29,16;3,575;1,3330001;4,92;1,53;10,59;20,39;12;10,62;58,940006
03/03/2003;834,81;23,54;13,72;16,66;77,33;11,69;15,86;7,4;16,2;17,005;12,64;13,375;7,42;27,9;3,435;1,2770001;5,1;1,5;10,63;20,44;12;10,24;58,940006
03/04/2003;821,99;23,07;13,63;16,62;76,7;11,63;15,54;7,1;16;17,225;12,25;13,215;7,6;27,33;3,421;1,243;5,02;1,4;10,43;20,25;11,83;10,03;57,049995
03/05/2003;829,85;23,44;13,74;16,98;77,73;11,17;15,56;7,29;16,2;17,745;12,24;12,97;8;27,84;3,4080002;1,2540001;5,38;1,4;10,3;20,12;11,71;9,85;57,82
03/06/2003;822,1;23,27;13,48;16,7;77,07;11,16;15,55;7,36;16,45;17,49;12,05;13,365;7,9;27,25;3,392;1,2340001;5,5;1,33;10,15;20,28;11,83;9,85;56,350006
03/07/2003;828,89;23,56;13,24;16,01;77,9;11,06;15,8;7,38;16,3;17,59;11,96;13,51;7,6;27;3,382;1,2080001;5,79;1,36;10,3;20,46;11,65;9,86;56,07
03/10/2003;807,48;22,95;13,01;15,9;75,7;10,76;15,49;6,96;16,02;17,12;11,6;13,305;7,62;26,05;3,2330003;1,1721;5,53;1,32;10,18;20,01;10,98;9,5888;55,3
03/11/2003;800,73;22,79;13,02;15,85;75,35;10,68;15,41;6,89;16,37;17,265;11,61;13,315;7,75;26,13;3,235;1,173;5,47;1,33;10;20,005;11,09;9,42;55,86001
03/12/2003;804,19;23,39;12,69;16,2;75,18;11;15,57;6,93;16,69;17,56;11,75;13,745;7,74;26,76;3,359;1,184;5,43;1,32;10,07;20,095;11,3;9,4;56,28
03/13/2003;831,9;24,67;13,42;17,35;78,45;11,93;15;7,3;17,91;18,845;12,66;14,26;8,28;29,11;3,537;1,282;5,7;1,39;10,15;21,1;12,18;10,21;56,07
03/14/2003;833,27;24,86;13,4;17,17;79;11,94;15,66;7,34;17,41;18,74;12,37;15,395;7,85;28,76;3,5080001;1,246875;5,89;1,36;10,18;21,175;12,33;10,07;57,33
03/17/2003;862,79;25,93;14,13;18,06;82,46;12,348;16,4;7,71;18,26;19,51;13,129;16,09;8,03;30,36;3,734;1,32;5,8;1,48;10,9;22,195;13,07;11,45;59,71001
03/18/2003;866,45;26,04;14,2;18,25;82,47;12,25;16,74;7,73;18,46;19,625;13,54;16,09;8,05;30,87;3,8130002;1,3310002;6;1,55;10,89;22,59;13,22;11,96;60,83
03/19/2003;874,02;26,32;14,22;17,98;82;11,31;16,96;7,7;18,26;19,56;13,54;16,51;8,15;30,68;3,927;1,316;6,25;1,5;10,85;22,825;13,32;11,5;57,75
03/20/2003;875,67;26,25;14,04;18,27;82,2;11,5;17,17;7,81;18,28;19,305;13,91;17,035;8;30,22;3,9750001;1,329;6,15;1,5;10,86;22,495;13,75;12,2;57,82
03/21/2003;895,79;26,57;13,9;18,9;84,9;11,35;17,51;7,41;18,67;19,605;14,23;16,035;8,88;30,63;3,9990003;1,3560001;6,12;1,45;10,96;22,635;14,08;12,4;59,5
03/24/2003;864,23;25,29;13,51;17,83;82,25;11,03;16,55;7,01;17,73;19,06;13,56;15,275;8,34;28,96;3,832;1,283;5,9;1,36;10,48;21,7;13,26;11,83;57,96001
03/25/2003;874,74;25,49;13,72;18,04;83,45;11,3;16,51;7,06;17,9;19,38;13,61;15,835;8,71;29,85;3,817;1,2850001;5,89;1,41;10,62;22,1395;14,01;12,01;60,20001
03/26/2003;869,95;25,25;13,66;17,89;81,55;11,44;16,58;7,04;17,75;19,215;13,71;15,975;8,46;29,69;3,8349998;1,276;6;1,36;10,61;22,415;13,57;12,19;59,57
03/27/2003;868,52;25,04;13,5;17,58;81,45;11,36;16,44;7,16;17,75;18,8;13,5;15,75;8,81;29,4;3,839;1,261;6,02;1,45;10,52;22,415;13,52;11,98;59,149998
03/28/2003;863,5;24,67;13,22;17,22;80,85;11,1;16,25;7,11;17,38;18,75;13,23;15,895;8,72;28,89;3,775;1,209;6;1,49;10,19;21,84;13,56;11,85;58,100006
03/31/2003;848,18;24,21;12,98;16,28;78,43;10,849;15,55;7,23;16,37;18;12,58;15,415;8,14;27,5;3,5942001;1,1389;5,84;1,41;10;21,2855;13,16;11,19;57,82
04/01/2003;858,48;24,35;12,98;16,42;78,73;10,76;15,62;7,39;16,44;17,975;12,76;15,305;8,03;27,75;3,619;1,1520001;5,86;1,41;9,89;21,565;13,3;11,27;58,45001
04/02/2003;880,9;25,72;13,64;17,52;81,46;11,46;15,99;7,69;17,58;17,09;13,59;16,43;8,75;29,58;3,834;1,1991;5,9;1,5;10,13;22,28;14,58;12,5;60,269997
04/03/2003;876,45;25,73;13,64;17,57;81,91;11,62;16,36;7,85;17,75;17,16;13,74;16,52;8,71;29,65;3,877;1,225;5,85;1,45;10,18;22,12;14,6;12,76;59,149998
04/04/2003;878,85;25,09;13,71;17,05;80,79;11,37;16,31;7,8;16,9;17,145;13,52;16,1;8,72;29,18;3,816;1,2140001;5,75;1,43;10,18;22,645;14,03;12,65;59,5
04/07/2003;879,93;25,171;13,57;17,35;80,47;11,71;16,21;7,89;17,2;17,095;13,88;16,56;9;29,86;3,8490002;1,256;5,85;1,49;10,37;23,36;14,15;13,06;59,71001
04/08/2003;878,29;25,58;13,43;17,1;80,07;11,5;15,75;7,72;16,39;16,2;13,41;16,19;8,87;27,37;3,746;1,1880001;5,75;1,49;10,16;23,07;14,3;13,09;58,239998
04/09/2003;865,99;24,57;13,04;16,68;78,71;11,17;15,36;7,76;16,24;16,11;13,09;15,935;8,52;27,38;3,6810002;1,143;5,55;1,45;9,88;22,33;13,57;12,43;55,649998
04/10/2003;871,58;24,59;13,04;16,88;79,01;11,37;15,57;7,64;16,53;16,155;13,24;16,205;8,55;27,57;3,744;1,14;5,8;1,41;9,96;22,275;13,81;12,71;56
04/11/2003;868,3;24,2;13,21;16,76;78,75;11,29;15,3;7,72;16,23;15,94;13,03;16,185;8,37;26,92;3,646;1,11;5,68;1,4;9,85;22,175;13,82;12,75;56
04/14/2003;885,23;24,75;13,47;17,16;80,07;11,66;15,89;7,81;16,94;16,53;13,48;16,755;8,54;27,94;3,7189999;1,11;5,8;1,42;9,75;23,05;14,36;13,03;55,86001
04/15/2003;890,81;24,61;13,34;17,13;82,79;11,54;15,57;7,77;17,22;16,54;13,41;16,94;8,68;28,31;3,736;1,143;5,98;1,4;9,8;22,955;14,47;13,18;55,58
04/16/2003;879,91;24,92;13,56;18,16;82,88;11,58;15,59;8,39;19;16,36;14,03;16,595;8,74;30,26;3,8509998;1,17;5,8;1,4;10,6;23,075;14,59;13,41;54,809998
04/17/2003;893,58;25,5;13,95;18,66;84,26;12;15,3;8,5;19,4;16,47;14,8;17,375;8,99;31,32;3,9950001;1,341;6;1,45;10,45;23,725;15,64;14,11;55,3
04/21/2003;892,01;25,21;13,94;18,65;83,36;11,84;15,4;8,9;19,37;16,44;14,99;17,36;9,16;31,5;4,084;1,375;6,11;1,66;10,63;23,58;15,36;14,24;55,090004
04/22/2003;911,37;25,74;14,32;19;85,63;12,13;15,83;9,04;19,91;16,605;15,81;17,635;9,53;32,73;4,1860003;1,434;6,21;2,02;10,92;24,185;15,48;14,72;56,559998
04/23/2003;919,02;25,72;14,33;19,48;85,75;12;16,07;9,32;19,69;16,49;15,57;17,785;9,55;33,3;4,092;1,4399999;5,88;2,74;11,09;24,3;15,43;14,88;58,66
04/24/2003;911,43;25,49;14,35;18,95;85,2;12,03;15,8;9,25;19,35;16,315;15,05;17,865;9,36;32,99;4,09;1,416;5,82;2,17;11,16;24,26;18,16;14,69;56,980015
04/25/2003;898,81;25,21;14,34;18,28;83,88;11,79;15,85;8,79;18,39;15,56;14,19;17,31;8,69;31,32;3,8939998;1,3510001;5,74;2,3;10,7;23,6;17,84;13,71;55,3
04/28/2003;914,84;25,74;14,98;18,75;85,12;11,97;16,11;9,04;18,78;15,53;14,46;17,555;8,69;32,76;4,011;1,395;5,67;2,45;10,98;24,065;18,7;14,1;56,07
04/29/2003;917,84;25,809;15,14;18,92;85,66;12,02;16,5;9,46;19,06;15,945;14,89;17,62;8,66;33,82;4,1200004;1,4810001;5,42;2,42;11,22;24,2955;18,8;14,45;56,21001
04/30/2003;916,92;25,56;15;18,37;84,9;11,88;16,3;9,09;18,49;15,94;14,62;17,265;8,5;33,12;4,1;1,468;5,42;2,42;11,43;24,305;19;13,26;55,37001
05/01/2003;916,3;25,71;15,12;18,55;85,89;11,92;16,5;9,3;18,55;16,105;14,75;18,3555;8,52;33,16;4,104;1,5090001;5,44;2,39;11,59;24,85;18,89;13,63;55,58
05/02/2003;930,08;26,13;15,27;19,05;87,57;12,2;16,65;9,48;19,29;16,055;15,15;18,96;8,71;33,25;4,215;1,559;5,43;2,56;12,03;24,9205;19,8;14,07;56,350006
05/05/2003;926,55;25,86;15,389;19,02;86,52;12,08;16,8;9,71;19,49;16,24;15,08;18,84;9;33,76;4,244;1,564;5,62;3,26;11,96;25,335;19,88;14,6;56,91
05/06/2003;934,39;26,38;15,9;19,54;87,51;12,41;17,33;9,71;20,2;16,415;15,46;18,72;9,08;34,18;4,31;1,585;5,7;3,27;12,27;25,435;20,28;14,92;57,049995
05/07/2003;929,62;25,99;15,48;19,16;86,68;12,19;17,22;9,51;19,3;15,97;15,15;18,435;9,1;33,58;4,204;1,573;5,9;3,5;12,35;25,55;19,85;15,18;56,140003
05/08/2003;920,27;25,75;15,22;18,87;86,05;12,1;17,09;9,42;18,87;15,195;14,59;17,97;9,1;32,92;4,1060004;1,546;5,77;3,48;12,05;25,35;19,28;15,28;56,07
05/09/2003;933,41;26,35;15,95;19,58;87,55;12,42;17,34;9,49;20;15,555;15,08;18,275;9,65;34,25;4,249;1,6209999;5,9;3,32;12,09;25,72;18,74;15,711;55,789997
05/12/2003;945,11;26,21;16,67;19,99;89;12,46;17,41;9,94;19,67;15,56;15,72;18,55;9,82;35,21;4,3630004;1,666;5,98;3,49;12,2;26,095;19,07;16,38;56,559998
05/13/2003;942,3;25,99;16,47;19,82;89,98;12,42;17,28;10,1;19,7;15,685;15,56;18,245;10,15;34,6;4,275;1,648;6,15;3,667;11,88;25,715;19,57;16,73;56,350006
05/14/2003;939,28;25,63;16,42;19,66;88,7;12,53;17,42;10;19,42;15,42;14,97;18,125;10,35;34;4,1540003;1,6620001;6,26;3,83;11,74;25,62;19,6;15,49;62,440006
05/15/2003;946,67;25,79;16,75;20;89,9;12,91;17,63;9,94;19,6;15,115;14,89;18,19;10,31;35,24;4,197;1,6270001;6,21;3,71;12,24;25,98;20,2;15,79;63,70001
05/16/2003;944,3;25,57;16,63;19,5;88,99;12,56;17,95;10;19,59;15,15;14,31;17,97;10,35;34,93;4,0610003;1,579;6,29;3,37;12,49;25,8;20,51;15,79;62,299995
05/19/2003;920,77;24,8;15,94;18,67;86,45;12,17;16,88;9,3;18,77;15,135;13,75;16,78;10,03;33,28;3,9080002;1,5;6,01;3;12,08;25;19,35;14,96;59,850006
05/20/2003;919,73;24,63;15,99;18,66;85,77;12,1639;17,05;9,23;18,73;15,48;13,76;16,75;9,89;33,63;3,944;1,5090001;5,98;3,33;12,1;25,235;19,6;14,74;59,359997
05/21/2003;923,42;24,03;15,7;18,84;86,18;12,1;17,94;9,24;18,77;15,6915;13,66;16,845;9,94;34,25;3,935;1,525;5,73;3,402;12,16;25,45;19,77;14,55;58,100006
05/22/2003;931,87;24,16;15,92;18,77;86,08;12,3;18,46;9,49;18,63;15,675;13,88;17,345;10,03;34,92;4,014;1,5690001;6;3,64;13,66;29,46;20,4;15,12;59,08
05/23/2003;933,22;24,22;15,69;18,81;85,26;12,1;18,49;9,6;18,71;15,45;13,84;17,315;10,03;34,9;3,9919999;1,5550002;6,02;3,64;13,46;29,325;20,59;15,21;59,430004
05/27/2003;951,48;24,79;16,15;19,78;87,69;12,65;18,68;9,95;19,28;15,885;14,69;17,675;11;36,7;4,211;1,656;6,43;3,75;13,92;29,28;21,12;16,02;61,25
05/28/2003;953,22;24,41;16,28;19,74;87,57;13,26;19,38;9,96;20,17;15,695;14,77;17,84;10,96;37,05;4,213001;1,6520001;6,3;3,67;14,03;29,95;21,58;15,93;60,20001
05/29/2003;949,64;24,4;16,62;20,83;87,36;12,83;19,06;10,15;20,24;16,25;14,82;17,6;11,22;38,33;4,43;1,7;6,84;3,65;13,9;30,495;22,27;16,77;60,899998
05/30/2003;963,59;24,61;16,41;20,82;88,04;13,01;19,5;10,82;20,5;16,775;15,56;17,66;11,32;38,55;4,6230006;1,7850001;7,31;3,662;13,9;30,645;21,79;17,03;59,640003
06/02/2003;967;24,639;16,8;20,38;87,33;12,8;20,05;10,43;20,1;16,675;15,29;17,52;11,14;37,38;4,5470004;1,794;7,31;3,69;13,7;30,6195;21,76;16,6999;61,109997
06/03/2003;971,56;24,88;17,01;21,1;83,82;13,02;20,07;10,87;20,62;17,34;15,83;17,465;11,39;37,85;4,736;1,825;7,03;3,6;13,58;30,95;22,11;17,08;59,430004
06/04/2003;986,24;24,87;17,37;21,381;84,25;13,58;21,04;10,8;21,1;17,35;16,66;18,555;12,18;39,5;4,9110003;1,8850001;7,71;3,9;13,8;31,455;22,68;17,46;62,720013
06/05/2003;990,14;24,09;17,369;21,84;81,9;13,36;21,9;10,99;20,84;17,45;16,87;18,815;12,47;38,81;4,9360003;1,9290001;7,9;4,47;13,85;31,95;22,72;17,72;64,19002
06/06/2003;987,76;23,67;17,36;21,76;80,05;13,09;22,03;11;20,95;16,775;16,29;18,645;12,5;38,53;4,9110003;1,9110001;7,85;4,42;13,75;32,01;22,7;17,42;62,230015
06/09/2003;975,93;23,75;17,23;21,67;82;12,859375;21,53;10,62;20,22;16,6;15,82;17,7;12,31;36,7;4,8;1,824;7,7;4,14;13,23;31,8;21,61;17,15;60,760002
06/10/2003;984,84;24,68;17,4;21,96875;81,71;13,02;21,62;10,46;20,39;16,815;15,83;17,9;13,15;37,28;4,813;1,7950001;7,7;4,558;13,27;30,54;22,69;17,03;60,20001
06/11/2003;997,48;24,88;17,6;21,89;83,97;13,27;21,2;10,44;18,86;16,81;15,76;17,91;13,28;36,44;4,829;1,8110001;7,9;5,03;13,4;30,4725;22,74;17,39;61,95001
06/12/2003;998,51;24,99;17,78;22,14;83,95;13,33;21,24;10,64;18,49;16,795;15,62;17,99;13,53;35,3;4,7599998;1,866;7,83;5,12;13,3;30,525;23,16;16,91;63,350006
06/13/2003;988,61;24,65;17,41;21,359375;82,75;13,48;20,99;10,42;18;16,495;15,23;15,775;13,08;34,44;4,557;1,776;7,6;5,1;13;29,795;22,39;16,4;60,62
06/16/2003;1010,74;25,39;17,978;21,87;84,5;13,65;21,38;10,51;18,44;16,84;15,679;15,85;13,19;35;4,7168;1,825;7,76;4,83;13,21;30,865;23,26;16,66;61,390003
06/17/2003;1011,66;25,959;17,98;21,45;84,3;13,348;21,64;10,33;18,43;16,8845;15,77;16,245;13,05;33,9;4,7261004;1,8549999;7,91;5,27;13,02;30,9;22,54;16,61;62,510002
06/18/2003;1010,09;26,07;18,73;21,751;84,7;13,42;21,97;10,32;18,6;17,845;16,105;16,035;13,08;35,17;4,844;1,893;7,95;5,52;13,15;31,13;22,45;16,83;64,96002
06/19/2003;994,7;26,07;18,56;21,12;84,55;13,34;21,6;10,19;18,79;18,46;15,98;15,77;12,74;35,17;4,7372003;1,85;8,02;5,75;12,86;30,67;21,45;16,27;67,34
06/20/2003;995,69;26,33;17,93;20,67;84,92;12,929;21,7;10,23;18,5;18,225;15,779;15,945;12,68;33,99;4,715;1,773;7,9;5,58;12,39;30,94;21,12;16,23;68,11
06/23/2003;981,64;25,78;17,24;20,36;83,18;12,77;21,37;10,07;18,09;17,9995;15,59;15,555;12,01;33,05;4,6857;1,758;7,3;5,04;12,43;30,8505;20,05;15,96;65,59
06/24/2003;983,45;25,7;16,749;20,45;83,63;12,65;21,11;9,89;17,77;17,905;15,33;15,46;11,76;32,75;4,5912;1,7450001;7,13;4,73;12,13;30,96;19,89;15,74;65,73003
06/25/2003;975,32;25,26;16,87;20,04;82,49;12,38;20,8;9,93;17,35;17,66;15,41;15,645;11,86;33,04;4,592;1,78;7,34;4,77;12;31,795;19,99;15,75;66,15001
06/26/2003;985,82;25,75;17,13;20,63;84,35;12,515625;21,3;10,24;17,99;18,215;15,93;16,065;11,95;34,56;4,684;1,856;7,49;4,91;12,03;31,675;20,18;16,46;66,731705
06/27/2003;976,22;25,63;16,89;20,57;83,42;12,43;20,89;10,3;18,01;18,005;16,02;16,3;11,8;34,05;4,643;1,8479999;7,5;4,94;11,72;31,1995;20,7;16,04;65,66
06/30/2003;974,5;25,64;16,79;20,81;82,5;12,01;21,3;10,47;17,6;17,97;15,84;16,035;11,63;34,82;4,646;1,8260001;7,39;4,78;12,06;30,965;20,36;16,08;66,01
07/01/2003;982,32;26,15;17,24;21,41;83,59;12,33;21,18;10,56;17,62;18,02;16,18;16,41;12,33;35,25;4,6851;1,8520001;7,46;4,47;11,9;31,22;21,66;16,67;64,68001
07/02/2003;993,75;26,88;17,86;22,21;84,74;12,45;21,56;10,89;18,22;18,87;16,27;16,79;12,94;35,82;4,719;1,8920001;7,76;4,79;12,41;31,66;22,61;17,85;67,48003
07/03/2003;985,7;26,5;17,52;21,72;83,95;12,18;21,3;10,92;17,75;18,73;16,01;16,93;12,81;36;4,65;1,866;7,67;4,71;12,32;31,34;22,09;17,25;66,99
07/07/2003;1004,42;27,42;18,22;22,909;86,09;12,57;22,05;11,74;18,89;19,94;17,63;17,325;13,76;36,71;4,958;2,0060003;7,91;5,05;12,88;32,41;23,01;18,2;70,21002
07/08/2003;1007,84;27,7;18,73;23,15;86,25;12,73;22,11;11,24;19,07;19,745;17,8;17,465;14;37,29;4,9500003;2,056;8,36;5,29;13,08;32,545;24,5;18,69;69,09
07/09/2003;1002,21;27,47;18,8;23,48;85,47;12,67;22,93;11,06;19,49;19,55;17,65;17,395;14,4;37,44;4,9240003;2,134;8,74;5,3;13,17;32,195;23,88;19,56;71,75
07/10/2003;988,7;26,91;18,31;22,91;84,03;12,6;22,05;10,93;18,81;19,08;17,44;17,13;13,88;36,25;4,862;2,0410001;8,36;5,28;12,69;31,9;23,35;18,76;66,29
07/11/2003;998,14;27,309;18,57;23,337;84,89;12,84;22,86;10,88;18,76;19,32;17,39;17,315;13,9;36,7;4,7899;1,9940001;8,5;5,27;13,05;32,23;23,95;18,74;66,57
07/14/2003;1003,86;27,4;18,61;24,02;85,42;12,64;23,52;11,16;19,12;19,185;18,14;17,22;14,3;38,16;5,035;2,092;8,39;5,64;13,27;32,765;23,61;19,17;66,5
07/15/2003;1000,42;27,27;18,51;24,1;86,44;12,63;22,9;11,07;19,44;18,9;18,67;17,55;14,17;38,04;5,1300006;2,231;8,44;5,59;13;32,955;24;18,72;68,46002
07/16/2003;994;27,52;18,23;25,31;86,74;12,41;22,7;10,17;19,23;18,66;19,22;17,5655;13,92;37,91;5,178;2,189;8,2;5,44;12,4;31,8055;23,01;18,4;65,31
07/17/2003;981,73;26,69;17,76;24,93;83,33;12,09;21,81;9,8;18,25;17,845;18,309;17,11;13,28;36,13;5,0400004;2,083;7,53;5,05;12,58;30,345;21,93;17,54;62,58
07/18/2003;993,32;26,89;17,889;24,66;83,72;12,077;22,55;10;18,69;17,745;18,18;16,75;14,3;35,7;5,027;2,096;7,64;5,16;12,73;30,23;22,16;17,72;63,350006
07/21/2003;978,8;26,04;17,93;24,06;82,5;11,69;21,83;10,05;17,88;17,495;17,87;16,275;14,01;35,76;4,966;2,029;7,51;4,92;12,6;30,085;21,51;17,43;61,04
